PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,LATITUDE,LONGITUDE,PRIMARY.BUSINESS.ACTIVITY,COMMUNITY.BOARD,IMPACTED
448 SUTTER AVENUE,40.6680799,-73.9023624,RETAIL,316.0,False
456 SUTTER AVENUE,40.6681153,-73.902128,RETAIL,316.0,False
627 Blake Avenue,40.6679175,-73.895647,RETAIL,305.0,False
344 Pennsylvania Ave,40.66893,-73.8956,RETAIL,305.0,False
740 SUTTER AVENUE,40.6698484,-73.8911632,RETAIL,305.0,False
740 SUTTER AVENUE,40.6698484,-73.8911632,RETAIL,305.0,False
323 POWELL STREET,40.6664197,-73.9028226,RETAIL,316.0,False
340 JUNIUS STREET,40.6661256,-73.902376,RETAIL,316.0,False
602 LIVONIA AVENUE,40.6645104,-73.8946971,RETAIL,305.0,False
604 WYONA STREET,40.6637358,-73.8911227,RETAIL,305.0,False
676 MILLER AVENUE,40.6640003,-73.889302,RETAIL,305.0,False
553 HINSDALE STREET,40.661266,-73.8976723,RETAIL,305.0,False
509 HINSDALE STREET,40.6624163,-73.8979697,RETAIL,305.0,False
509 HINSDALE STREET,40.6624163,-73.8979697,RETAIL,305.0,False
536 WILLIAMS AVENUE,40.6624709,-73.8976127,RETAIL,305.0,False
590 WILLIAMS AVENUE Corner,40.6612657,-73.897301,RETAIL,305.0,False
590 WILLIAMS AVENUE Front,40.6612657,-73.897301,RETAIL,305.0,False
614 Bradford,40.6635343,-73.890002,RETAIL,305.0,False
679 VAN SINDEREN AVENUE,40.65974,-73.8991,RETAIL,305.0,False
180 NEW LOTS AVENUE,40.658956,-73.898966,RETAIL,305.0,False
202 Jamaica Avenue,40.680332,-73.8924873,RETAIL,305.0,False
202 Jamaica Avenue,40.680332,-73.8924873,RETAIL,305.0,False
202 Jamaica Avenue,40.680332,-73.8924873,RETAIL,305.0,False
202 Jamaica Avenue,40.680332,-73.8924873,RETAIL,305.0,False
2859 FULTON STREET,40.678682,-73.8891947,RETAIL,305.0,False
2869 FULTON STREET,40.678901,-73.8885923,RETAIL,305.0,False
2783 ATLANTIC AVENUE,40.6766806,-73.8916279,RETAIL,305.0,False
2883 ATLANTIC AVENUE,40.677388,-73.8879711,RETAIL,305.0,False
180 SHEPHERD AVENUE,40.6802532,-73.8821616,RETAIL,305.0,False
2900 Atlantic Avenue,40.6770001,-73.8870885,RETAIL,305.0,False
3002 ATLANTIC AVE,40.6780119,-73.8833301,RETAIL,305.0,False
581 GLENMORE AVENUE,40.6744464,-73.8887403,RETAIL,305.0,False
2335 PITKIN AVENUE,40.6735356,-73.8864418,RETAIL,305.0,False
1055 BLAKE AVENUE,40.670265,-73.8795441,RETAIL,305.0,False
739 NEW LOTS AVENUE,40.6661384,-73.8836536,RETAIL,305.0,False
739 NEW LOTS AVENUE,40.6661384,-73.8836536,RETAIL,305.0,False
688 JAMAICA AVENUE,40.686785,-73.8786994,RETAIL,305.0,False
85 EUCLID AVENUE,40.6866846,-73.8747296,RETAIL,305.0,False
814 JAMAICA AVENUE,40.688603,-73.8745457,RETAIL,305.0,False
838 JAMAICA AVENUE,40.6891812,-73.8736179,RETAIL,305.0,False
8 Nichols Avenue,40.6902756,-73.8705003,RETAIL,305.0,False
380 ETNA STREET,40.6876508,-73.8698131,RETAIL,305.0,False
115 LOGAN STREET,40.6838528,-73.878016,RETAIL,305.0,False
115 LOGAN STREET,40.6838528,-73.878016,RETAIL,305.0,False
342 RIDGEWOOD AVENUE,40.6844463,-73.8760715,RETAIL,305.0,False
216 CRESCENT STREET,40.6840171,-73.8726109,RETAIL,305.0,False
3341 FULTON STREET,40.6838496,-73.8724851,RETAIL,305.0,False
3461 FULTON STREET,40.6851042,-73.8678963,RETAIL,305.0,False
3443 FULTON STREET,40.6849183,-73.8684844,RETAIL,305.0,False
576 Ridgewood Avenue,40.6864299,-73.8678071,RETAIL,305.0,False
3168 FULTON STREET,40.6817914,-73.8779801,RETAIL,305.0,False
3304 FULTON STREET,40.6830957,-73.8733518,RETAIL,305.0,False
3312 FULTON STREET,40.6831339,-73.8731751,RETAIL,305.0,False
308 CRESCENT STREET,40.6817959,-73.8719337,RETAIL,305.0,False
3346 FULTON STREET,40.6834894,-73.8719882,RETAIL,305.0,False
3346 FULTON STREET,40.6834894,-73.8719882,RETAIL,305.0,False
3346 FULTON STREET,40.6834894,-73.8719882,RETAIL,305.0,False
999 Liberty Avenue,40.6779907,-73.8735923,RETAIL,305.0,False
3354 ATLANTIC AVENUE,40.6811596,-73.8723748,RETAIL,305.0,False
3360 ATLANTIC AVENUE,40.6812278,-73.8720718,RETAIL,305.0,False
388 CRESCENT STREET,40.6793192,-73.8711561,RETAIL,305.0,False
1009 Liberty Avenue,40.6782469,-73.8719838,RETAIL,305.0,False
1073 LIBERTY AVENUE,40.6785354,-73.8697624,RETAIL,305.0,False
1073 LIBERTY AVENUE,40.6785354,-73.8697624,RETAIL,305.0,False
1097B Liberty Ave,40.6786743,-73.8688031,RETAIL,305.0,False
1101A Liberty Ave,40.6786743,-73.8688031,RETAIL,305.0,False
1119 LIBERTY AVE,40.6787559,-73.8682009,RETAIL,305.0,False
458 LINCOLN AVE,40.6787559,-73.8682009,RETAIL,305.0,False
1125 LIBERTY,40.6788131,-73.8677717,RETAIL,305.0,False
1125 LIBERTY,40.6788131,-73.8677717,RETAIL,305.0,False
1123 LIBERTY AVENUE,40.6787994,-73.8678655,RETAIL,305.0,False
1137 LIBERTY AVENUE,40.6788705,-73.8675661,RETAIL,305.0,False
1137 LIBERTY AVENUE,40.6788705,-73.8675661,RETAIL,305.0,False
1145 LIBERTY AVENUE,40.6790071,-73.8670142,RETAIL,305.0,False
1163 LIBERTY AVENUE,40.6790038,-73.8665744,RETAIL,305.0,False
1157 Liberty Avenue,40.6789902,-73.8666898,RETAIL,305.0,False
1155 Liberty Avenue,40.6789821,-73.8667547,RETAIL,305.0,False
1153 Liberty Avenue,40.6789739,-73.8668196,RETAIL,305.0,False
1151 Liberty Avenue,40.678963,-73.866899,RETAIL,305.0,False
1181 LIBERTY AVENUE,40.6791318,-73.865698,RETAIL,305.0,False
1181 LIBERTY AVENUE,40.6791318,-73.865698,RETAIL,305.0,False
1177 LIBERTY AVENUE,40.6790909,-73.8659144,RETAIL,305.0,False
167 FORBELL STREET,40.6793027,-73.863996,RETAIL,305.0,False
1046 LIBERTY AVENUE,40.6779982,-73.8704449,RETAIL,305.0,False
1046 LIBERTY AVENUE,40.6779982,-73.8704449,RETAIL,305.0,False
475 HEMLOCK ST,40.677857,-73.8694104,RETAIL,305.0,False
1074C LIBERTY AVENUE,40.6781207,-73.8695649,RETAIL,305.0,False
1088 LIBERTY AVENUE,40.6781751,-73.869161,RETAIL,305.0,False
1098 LIBERTY AVE,40.6782541,-73.8686597,RETAIL,305.0,False
1098 LIBERTY AVE,40.6782541,-73.8686597,RETAIL,305.0,False
1130 LIBERTY,40.6784066,-73.8675887,RETAIL,305.0,False
1130 LIBERTY,40.6784066,-73.8675887,RETAIL,305.0,False
1144 LIBERTY AVENUE,40.678472,-73.8671235,RETAIL,305.0,False
1164 LIBERTY AVENUE,40.6785864,-73.8663553,RETAIL,305.0,False
1170 LIBERTY AVENUE,40.678649,-73.8659045,RETAIL,305.0,False
1170 LIBERTY AVENUE,40.678649,-73.8659045,RETAIL,305.0,False
1180 Liberty Ave,40.678698,-73.8655547,RETAIL,305.0,False
1242 LIBERTY AVENUE,40.6788511,-73.8627891,RETAIL,305.0,False
946 Glenmore Avenue,40.676068,-73.8748974,RETAIL,305.0,False
2588 PITKIN AVENUE,40.6744944,-73.8765983,RETAIL,305.0,False
2588 PITKIN AVENUE,40.6744944,-73.8765983,RETAIL,305.0,False
913 BELMONT AVENUE,40.6738285,-73.8751395,RETAIL,305.0,False
1199 Sutter Avenue,40.6728467,-73.8733497,RETAIL,305.0,False
1215 Sutter Avenue,40.6728467,-73.8733497,RETAIL,305.0,False
1201 Sutter Avenue,40.6728467,-73.8733497,RETAIL,305.0,False
964 Belmont Avenue,40.6737272,-73.8728685,RETAIL,305.0,False
1249 SUTTER AVENUE,40.6730123,-73.8717127,RETAIL,305.0,False
1279 SUTTER AVENUE,40.6730744,-73.8708041,RETAIL,305.0,False
1385 SUTTER AVENUE,40.6737342,-73.8669094,RETAIL,305.0,False
1159 BLAKE AVENUE,40.671042,-73.8746112,RETAIL,305.0,False
1159 BLAKE AVENUE,40.671042,-73.8746112,RETAIL,305.0,False
1159 BLAKE AVENUE,40.671042,-73.8746112,RETAIL,305.0,False
1290 SUTTER AVENUE,40.6727666,-73.870455,RETAIL,305.0,False
671 LINCOLN AVENUE,40.6728795,-73.865945,RETAIL,305.0,True
366 NEW LOTS AVENUE,40.661394,-73.893527,RETAIL,305.0,False
524 New Lots Ave,40.6634837,-73.8887333,RETAIL,305.0,False
556 NEW LOTS AVENUE,40.6638863,-73.8878063,RETAIL,305.0,False
731 Schenk Avenue,40.6629859,-73.8849639,RETAIL,305.0,False
796 new lots ave,40.6666574,-73.8812015,RETAIL,305.0,False
536 HEGEMAN AVENUE,40.659663,-73.8916664,RETAIL,305.0,False
774 ALABAMA AVENUE,40.6569551,-73.8929647,RETAIL,305.0,False
832 Pennsylvania Avenue,40.6572407,-73.8901674,RETAIL,305.0,False
801 PENNSYLVANIA AVENUE,40.6581763,-73.8897406,RETAIL,305.0,False
835 Pennsylvania Ave,40.6574841,-73.8892299,RETAIL,305.0,False
655 STANLEY AVENUE,40.6594582,-73.8842852,RETAIL,305.0,False
655 STANLEY AVENUE,40.6594582,-73.8842852,RETAIL,305.0,False
2240 linden blvd,40.662742,-73.8799542,RETAIL,305.0,False
864 Pennsylvania Ave,40.6564138,-73.8894083,RETAIL,305.0,False
922 Pennsylvania Ave,40.6544396,-73.88868,RETAIL,305.0,False
926 Pennsylvania Ave,40.6544396,-73.88868,RETAIL,305.0,False
934 Pennsylvania Ave,40.6544396,-73.88868,RETAIL,305.0,False
938 Pennsylvania Ave,40.6544396,-73.88868,RETAIL,305.0,False
940 Pennsylvania Ave,40.6544396,-73.88868,RETAIL,305.0,False
954 Pennsyylvania Ave,40.6544396,-73.88868,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
933 Wortman Avenue,40.6551274,-73.8874859,RETAIL,305.0,False
965 PENNSYLVANIA AVENUE,40.6545313,-73.8870436,RETAIL,305.0,False
1110 Pennsylvania Ave,40.6535463,-73.8874525,RETAIL,305.0,False
1110 Pennsylvania Ave,40.6535463,-73.8874525,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1111 PENNSYLVANIA AVENUE,40.6537787,-73.8864862,RETAIL,305.0,False
1062 Elton Street,40.657058,-73.875095,RETAIL,305.0,True
1368 PENNSYLVANIA AVENUE,40.6470644,-73.8831535,RETAIL,303.0,False
1346 PENNSYLVANIA AVENUE,40.6470644,-73.8831535,RETAIL,303.0,False
1346 PENNSYLVANIA AVENUE,40.6470644,-73.8831535,RETAIL,303.0,False
351 GATEWAY DRIVE,40.6513136,-73.8730734,RETAIL,305.0,False
369 GATEWAY DRIVE,40.6515354,-73.8725865,RETAIL,305.0,False
381 GATEWAY DRIVE,40.6518615,-73.8720993,RETAIL,305.0,False
381 GATEWAY DRIVE,40.6518615,-73.8720993,RETAIL,305.0,False
409 GATEWAY DRIVE,40.6520503,-73.8716016,RETAIL,305.0,False
459 GATEWAY DRIVE,40.6523654,-73.8710676,RETAIL,305.0,False
470 GATEWAY DRIVE,40.6538575,-73.8725856,RETAIL,303.0,False
470 GATEWAY DRIVE,40.6538575,-73.8725856,RETAIL,303.0,False
470 GATEWAY DRIVE,40.6538575,-73.8725856,RETAIL,303.0,False
470 GATEWAY DRIVE,40.6538575,-73.8725856,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
494 GATEWAY DRIVE,40.6541805,-73.8718354,RETAIL,303.0,False
519 GATEWAY DRIVE,40.6529792,-73.8701727,RETAIL,305.0,False
642 GATEWAY DRIVE,40.6559743,-73.8682531,RETAIL,303.0,False
579 Gateway,40.6536993,-73.868618,RETAIL,305.0,False
528 GATEWAY DRIVE,40.6537212,-73.871029,RETAIL,303.0,False
528 GATEWAY DRIVE,40.6537212,-73.871029,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
410 GATEWAY DRIVE,40.6526779,-73.8732546,RETAIL,303.0,False
360 GATEWAY DRIVE,40.6518372,-73.8749825,RETAIL,303.0,False
550 GATEWAY DRIVE,40.6543568,-73.8699682,RETAIL,303.0,False
550 GATEWAY DRIVE,40.6543568,-73.8699682,RETAIL,303.0,False
550 GATEWAY DRIVE,40.6543568,-73.8699682,RETAIL,303.0,False
526 Schroeders Avenue,40.654818,-73.872429,RETAIL,305.0,False
2557 LINDEN BLVD,40.6685912,-73.8698792,RETAIL,305.0,False
1084 HEGEMAN AVENUE,40.6676999,-73.873017,RETAIL,305.0,False
2554 LINDEN BOULEVARD,40.6675779,-73.8694774,RETAIL,305.0,False
2554 LINDEN BOULEVARD,40.6675779,-73.8694774,RETAIL,305.0,False
2596 Linden Boulevard,40.6682113,-73.8689535,RETAIL,305.0,False
2596 Linden Boulevard,40.6682113,-73.8689535,RETAIL,305.0,False
678 Berriman Street,40.6619619,-73.8742967,RETAIL,305.0,False
925 CRESENT STREET,40.6648057,-73.8670822,RETAIL,305.0,False
542 WORTMAN AVENUE,40.6613245,-73.8736923,RETAIL,305.0,False
714 Montauk Avenue,40.6614129,-73.8717458,RETAIL,305.0,False
506 UTICA AVENUE,40.6609372,-73.9317482,RETAIL,309.0,False
519 Utica Avenue,40.6608022,-73.930995,RETAIL,317.0,False
519 Utica Avenue,40.6608022,-73.930995,RETAIL,317.0,False
519 Utica Avenue,40.6608022,-73.930995,RETAIL,317.0,False
519 Utica Avenue,40.6608022,-73.930995,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
70 ROCKAWAY PARKWAY,40.6643772,-73.9242545,RETAIL,317.0,False
73 EAST 96 STREET,40.6641962,-73.9245358,RETAIL,317.0,False
73 EAST 96 STREET,40.6641962,-73.9245358,RETAIL,317.0,False
73 EAST 96 STREET,40.6641962,-73.9245358,RETAIL,317.0,False
73 EAST 96 STREET,40.6641962,-73.9245358,RETAIL,317.0,False
73 EAST 96 STREET,40.6641962,-73.9245358,RETAIL,317.0,False
73 EAST 96 STREET,40.6641962,-73.9245358,RETAIL,317.0,False
1134 EAST NEW YORK AVENUE,40.666016,-73.9245194,RETAIL,317.0,False
1091 RUTLAND ROAD,40.6646925,-73.9237603,RETAIL,317.0,False
531 UTICA AVENUE,40.6604782,-73.9307791,RETAIL,317.0,False
531 UTICA AVENUE,40.6604782,-73.9307791,RETAIL,317.0,False
575 UTICA AVENUE,40.6593007,-73.9308344,RETAIL,317.0,False
974 RUTLAND ROAD,40.6619389,-73.9270326,RETAIL,317.0,False
1034 RUTLAND ROAD,40.6630384,-73.9253265,RETAIL,317.0,False
1092 RUTLAND ROAD,40.6643162,-73.9233534,RETAIL,317.0,False
1092 RUTLAND ROAD,40.6643162,-73.9233534,RETAIL,317.0,False
1102 RUTLAND ROAD,40.6644588,-73.923137,RETAIL,317.0,False
1100 RUTLAND ROAD,40.6644588,-73.923137,RETAIL,317.0,False
1110 RUTLAND RD,40.6645877,-73.9229386,RETAIL,317.0,False
1114A RUTLAND RD,40.6645877,-73.9229386,RETAIL,317.0,False
1114B RUTLAND RD,40.6645877,-73.9229386,RETAIL,317.0,False
90 EAST 98 STREET,40.664225,-73.9224884,RETAIL,317.0,False
90 EAST 98 STREET,40.664225,-73.9224884,RETAIL,317.0,False
92 East 98 Street,40.664225,-73.9224884,RETAIL,317.0,False
112 EAST 98 STREET,40.6638899,-73.9221428,RETAIL,317.0,False
112 EAST 98 STREET,40.6638899,-73.9221428,RETAIL,317.0,False
144 EAST 98 STREET,40.6635851,-73.921826,RETAIL,317.0,False
144 EAST 98 STREET,40.6635851,-73.921826,RETAIL,317.0,False
144 EAST 98 STREET,40.6635851,-73.921826,RETAIL,317.0,False
144 EAST 98 STREET,40.6635851,-73.921826,RETAIL,317.0,False
144 East 98 Street,40.6635851,-73.921826,RETAIL,317.0,False
156 EAST 98 STREET,40.6633241,-73.9215415,RETAIL,317.0,False
835 CLARKSON AVENUE,40.6568495,-73.9305666,RETAIL,317.0,False
835 CLARKSON AVENUE,40.6568495,-73.9305666,RETAIL,317.0,False
667 Utica Avenue,40.6571487,-73.9305988,RETAIL,317.0,False
663 Utica Avenue,40.6571487,-73.9305988,RETAIL,317.0,False
126 EAST 53 STREET,40.6570403,-73.9283427,RETAIL,317.0,False
126 EAST 53 STREET,40.6570403,-73.9283427,RETAIL,317.0,False
1097 CLARKSON AVENUE,40.6601433,-73.9221111,RETAIL,317.0,False
190 EAST 98 STREET,40.6626731,-73.9208214,RETAIL,317.0,False
190 EAST 98 STREET,40.6626731,-73.9208214,RETAIL,317.0,False
190 EAST 98 STREET,40.6626731,-73.9208214,RETAIL,317.0,False
190 EAST 98 STREET,40.6626731,-73.9208214,RETAIL,317.0,False
198 EAST 98 STREET,40.6623572,-73.9204181,RETAIL,317.0,False
212 EAST 98 STREET,40.6621072,-73.9201372,RETAIL,317.0,False
212 EAST 98 STREET,40.6621072,-73.9201372,RETAIL,317.0,False
9729 KINGS HIGHWAY,40.661893,-73.920033,RETAIL,317.0,False
9717 KINGS HIGHWAY,40.6616845,-73.9200729,RETAIL,317.0,False
700 UTICA AVENUE,40.6563448,-73.9312303,RETAIL,317.0,False
700 UTICA AVENUE,40.6563448,-73.9312303,RETAIL,317.0,False
850 CLARKSON AVENUE,40.6564402,-73.9300228,RETAIL,317.0,False
850 CLARKSON AVENUE,40.6564402,-73.9300228,RETAIL,317.0,False
139 East 53,40.6565622,-73.9276476,RETAIL,317.0,False
139 East 53,40.6565622,-73.9276476,RETAIL,317.0,False
139 East 53,40.6565622,-73.9276476,RETAIL,317.0,False
139 East 53,40.6565622,-73.9276476,RETAIL,317.0,False
1004 Clarkson Avenue,40.6581355,-73.9242219,RETAIL,317.0,False
1006 Clarkson Avenue,40.6581355,-73.9242219,RETAIL,317.0,False
1010-12 Clarkson Avenue,40.6581355,-73.9242219,RETAIL,317.0,False
1014 Clarkson Avenue,40.6581355,-73.9242219,RETAIL,317.0,False
1130 CLARKSON AVENUE,40.6603373,-73.9208097,RETAIL,317.0,False
1130 CLARKSON AVENUE,40.6603373,-73.9208097,RETAIL,317.0,False
770 UTICA AVENUE,40.654374,-73.9310197,RETAIL,317.0,False
792 UTICA AVENUE,40.6540006,-73.9309768,RETAIL,317.0,False
735 Linden Boulevard,40.653943,-73.9309697,RETAIL,317.0,False
737 UTICA AVENUE,40.6552355,-73.9303989,RETAIL,317.0,False
737 UTICA AVENUE,40.6552355,-73.9303989,RETAIL,317.0,False
747 LINDEN BOULEVARD,40.6540799,-73.9304182,RETAIL,317.0,False
741 UTICA AVENUE,40.6549115,-73.9303668,RETAIL,317.0,False
405 REMSEN AVE,40.6560241,-73.9231431,RETAIL,317.0,False
4721 CHURCH AVENUE,40.6518771,-73.9325287,RETAIL,317.0,False
4717 CHURCH AVENUE,40.6518717,-73.9326368,RETAIL,317.0,False
4715 CHURCH AVENUE,40.6518662,-73.9327089,RETAIL,317.0,False
848 UTICA AVENUE,40.6523839,-73.9308091,RETAIL,317.0,False
4901 Church Ave,40.6519395,-73.9312781,RETAIL,317.0,False
4901 Church Ave,40.6519395,-73.9312781,RETAIL,317.0,False
795 Utilca Ave,40.6536379,-73.9302312,RETAIL,317.0,False
5007 CHURCH AVENUE,40.6520293,-73.929959,RETAIL,317.0,False
5005 CHURCH AVENUE,40.6520047,-73.9301248,RETAIL,317.0,False
859-861 UTICA AVENUE,40.6522105,-73.9300741,RETAIL,317.0,False
837 UTICA AVENUE,40.6526497,-73.9301205,RETAIL,317.0,False
837 UTICA AVENUE,40.6526497,-73.9301205,RETAIL,317.0,False
837 UTICA AVENUE,40.6526497,-73.9301205,RETAIL,317.0,False
819 UTICA AVENUE,40.6531109,-73.9301741,RETAIL,317.0,False
5225 CHURCH AVENUE,40.652522,-73.9277277,RETAIL,317.0,False
5317 CHURCH AVENUE,40.6526065,-73.9269311,RETAIL,317.0,False
5311 CHURCH AVENUE,40.6525929,-73.9270393,RETAIL,317.0,False
5307 CHURCH AVENUE,40.6525847,-73.9271438,RETAIL,317.0,False
5301 Church ave,40.6525711,-73.92736,RETAIL,317.0,False
5301 Church ave,40.6525711,-73.92736,RETAIL,317.0,False
5301 Church ave,40.6525711,-73.92736,RETAIL,317.0,False
5301 Church ave,40.6525711,-73.92736,RETAIL,317.0,False
525 REMSEN AVENUE,40.6536508,-73.9204609,RETAIL,317.0,False
9517 CHURCH AVENUE,40.6556486,-73.9160724,RETAIL,317.0,False
9515 CHURCH AVENUE,40.65558,-73.9160725,RETAIL,317.0,False
9511 CHURCH AVENUE,40.6555362,-73.9162095,RETAIL,317.0,False
9509 CHURCH AVENUE,40.6555005,-73.9162672,RETAIL,317.0,False
9501 CHURCH AVENUE,40.6553908,-73.9164367,RETAIL,317.0,False
9501 CHURCH AVENUE,40.6553908,-73.9164367,RETAIL,317.0,False
9501 CHURCH AVENUE,40.6553908,-73.9164367,RETAIL,317.0,False
9501 CHURCH AVENUE,40.6553908,-73.9164367,RETAIL,317.0,False
9601 CHURCH AVENUE,40.6559529,-73.9155494,RETAIL,317.0,False
9601 CHURCH AVENUE,40.6559529,-73.9155494,RETAIL,317.0,False
9601 CHURCH AVENUE,40.6559529,-73.9155494,RETAIL,317.0,False
1160 WILLMOHR STREET,40.6580034,-73.9157414,RETAIL,317.0,False
4816 CHURCH AVENUE,40.6514265,-73.9317219,RETAIL,317.0,False
898 UTICA AVENUE,40.6511788,-73.9306807,RETAIL,317.0,False
898 UTICA AVENUE,40.6511788,-73.9306807,RETAIL,317.0,False
910 UTICA AVENUE,40.6508,-73.9306378,RETAIL,317.0,False
914 UTICA AVENUE,40.6507149,-73.9306271,RETAIL,317.0,False
5024 CHURCH AVENUE,40.6516804,-73.9295017,RETAIL,317.0,False
931 UTICA AVENUE,40.6503769,-73.9298778,RETAIL,317.0,False
917 UTICA AVENUE,40.6507063,-73.9299135,RETAIL,317.0,False
5002 CHURCH AVENUE,40.651527,-73.9299956,RETAIL,317.0,False
5002 CHURCH AVENUE,40.651527,-73.9299956,RETAIL,317.0,False
5212 CHURCH AVENUE,40.6519897,-73.9280238,RETAIL,317.0,False
5802 CHURCH AVENUE,40.6522137,-73.9222249,RETAIL,317.0,False
8914 CHURCH AVENUE,40.6524263,-73.9200191,RETAIL,317.0,False
9508 Church Avenue,40.6551763,-73.9157702,RETAIL,317.0,False
9518 CHURCH AVENUE,40.6552804,-73.9156043,RETAIL,317.0,False
9726 CHURCH AVENUE,40.6563989,-73.9137612,RETAIL,317.0,False
9726 CHURCH AVENUE,40.6563989,-73.9137612,RETAIL,317.0,False
9726 CHURCH AVENUE,40.6563989,-73.9137612,RETAIL,317.0,False
9726 CHURCH AVENUE,40.6563989,-73.9137612,RETAIL,317.0,False
966 UTICA AVENUE,40.649293,-73.9304772,RETAIL,317.0,False
5002 Snyder Ave,40.6499651,-73.9298386,RETAIL,317.0,False
5002 Snyder Ave,40.6499651,-73.9298386,RETAIL,317.0,False
1003 UTICA AVENUE,40.6484966,-73.9296924,RETAIL,317.0,False
957 UTICA AVENUE,40.6497428,-73.9298172,RETAIL,317.0,False
957 Utica Avenue,40.6497428,-73.9298172,RETAIL,317.0,False
1080 UTICA AVENUE,40.6465179,-73.9301846,RETAIL,317.0,False
1080 UTICA AVENUE,40.6465179,-73.9301846,RETAIL,317.0,False
9002 AVENUE A,40.6511785,-73.9177177,RETAIL,317.0,False
9004 AVENUE A,40.6511785,-73.9177177,RETAIL,317.0,False
9006 AVENUE A,40.6511785,-73.9177177,RETAIL,317.0,False
9008 AVENUE A,40.6511785,-73.9177177,RETAIL,317.0,False
9012 AVENUE A,40.6511785,-73.9177177,RETAIL,317.0,False
1159 UTICA AVENUE,40.6442391,-73.9292285,RETAIL,317.0,False
5001 AVENUE D,40.6423231,-73.9290179,RETAIL,317.0,False
1249 Utica Avenue,40.6419937,-73.9289858,RETAIL,317.0,False
1249 Utica Avenue,40.6419937,-73.9289858,RETAIL,317.0,False
1249 Utica Avenue,40.6419937,-73.9289858,RETAIL,317.0,False
4901 FARRAGUT ROAD,40.6376519,-73.929657,RETAIL,317.0,False
452 EAST NEW YORK AVENUE,40.6615137,-73.9476285,RETAIL,309.0,False
541 New York Avenue,40.6615137,-73.9476285,RETAIL,309.0,False
545 New York Avenue,40.6615137,-73.9476285,RETAIL,309.0,False
549 New York Avenue,40.6612446,-73.9474593,RETAIL,309.0,False
610 KINGSTON AVENUE,40.6617939,-73.9425317,RETAIL,309.0,False
690 EAST NEW YORK AVENUE,40.6620094,-73.9397633,RETAIL,309.0,False
535 KINGSTON AVENUE,40.6608469,-73.9423234,RETAIL,309.0,False
388 MIDWOOD STREET,40.6599466,-73.9479721,RETAIL,309.0,False
388 MIDWOOD STREET,40.6599466,-73.9479721,RETAIL,309.0,False
