PROPERTY.STREET.ADDRESS.OR.STOREFRONT.ADDRESS,LATITUDE,LONGITUDE,PRIMARY.BUSINESS.ACTIVITY,COMMUNITY.BOARD,IMPACTED
181 BROADWAY,40.7102394,-74.009995,RETAIL,101.0,False
181 BROADWAY,40.7102394,-74.009995,RETAIL,101.0,False
177 BROADWAY,40.7101186,-74.010096,RETAIL,101.0,False
175 BROADWAY,40.7100582,-74.0101429,RETAIL,101.0,False
173 BROADWAY,40.7100088,-74.0101861,RETAIL,101.0,False
173 BROADWAY,40.7100088,-74.0101861,RETAIL,101.0,False
185 BROADWAY,40.7104,-74.01,RETAIL,101.0,True
15 MAIDEN LANE,40.7095889,-74.0090427,RETAIL,101.0,False
15 MAIDEN LANE,40.7095889,-74.0090427,RETAIL,101.0,False
176 Broadway,40.7098304,-74.0095044,RETAIL,101.0,True
65 NASSAU STREET,40.709488,-74.008657,RETAIL,101.0,True
180 BROADWAY,40.71002,-74.009371,RETAIL,101.0,True
33 Maiden Lane,40.7091224,-74.0084799,RETAIL,108.0,False
9 Gold Street,40.7077583,-74.0074374,RETAIL,101.0,True
100 WILLIAM STREET,40.7083457,-74.0071994,RETAIL,101.0,False
100 WILLIAM STREET,40.7083457,-74.0071994,RETAIL,101.0,False
100 WILLIAM STREET,40.7083457,-74.0071994,RETAIL,101.0,False
90 WILLIAM STREET,40.708077,-74.007473,RETAIL,101.0,False
125 MAIDEN LANE,40.706598,-74.006258,RETAIL,101.0,False
125 MAIDEN LANE,40.706598,-74.006258,RETAIL,101.0,False
156 FRONT STREET,40.7060758,-74.0055725,RETAIL,101.0,False
199 Water Street Apt COMM1,40.706861,-74.004371,RETAIL,101.0,False
199 Water Street Apt COMM1,40.706861,-74.004371,RETAIL,101.0,False
127 JOHN STREET,40.7074098,-74.0047358,RETAIL,101.0,False
111 John Street,40.7077639,-74.0055546,RETAIL,101.0,False
46 fulton st,40.708132,-74.004761,RETAIL,101.0,False
64 Fulton Street,40.70873,-74.0053527,RETAIL,101.0,False
64 Fulton Street,40.70873,-74.0053527,RETAIL,101.0,False
56 FULTON STREET,40.7085242,-74.0051687,RETAIL,101.0,False
70 Fulton Street,40.7088782,-74.0055475,RETAIL,101.0,False
85 JOHN STREET,40.7085296,-74.0064275,RETAIL,101.0,False
122 FULTON STREET,40.7099513,-74.0076468,RETAIL,101.0,True
118 Fulton Street,40.7098141,-74.0073799,RETAIL,101.0,True
80 NASSAU STREET,40.709787,-74.007874,RETAIL,101.0,False
80 NASSAU STREET,40.709787,-74.007874,RETAIL,101.0,False
72 NASSAU STREET,40.709587,-74.008119,RETAIL,101.0,True
72 NASSAU STREET,40.709587,-74.008119,RETAIL,101.0,True
72 NASSAU STREET,40.709587,-74.008119,RETAIL,101.0,True
72 NASSAU STREET,40.709587,-74.008119,RETAIL,101.0,True
72 NASSAU STREET,40.709587,-74.008119,RETAIL,101.0,True
104 FULTON STREET,40.709551,-74.006853,RETAIL,101.0,True
59 JOHN STREET,40.709007,-74.007272,RETAIL,101.0,False
110 Fulton Street,40.709688,-74.007124,RETAIL,101.0,True
110 Fulton Street,40.709688,-74.007124,RETAIL,101.0,True
17 JOHN STREET,40.7100199,-74.0086676,RETAIL,101.0,True
144 FULTON STREET,40.7103822,-74.0085811,RETAIL,101.0,False
29 John Street,40.709754,-74.008505,RETAIL,101.0,True
130 FULTON STREET,40.710215,-74.008076,RETAIL,101.0,True
130 FULTON STREET,40.710215,-74.008076,RETAIL,101.0,True
195 BROADWAY,40.7108515,-74.0097643,RETAIL,101.0,False
140 WEST STREET,40.713775,-74.012935,RETAIL,101.0,False
217 BROADWAY,40.7117463,-74.0088518,RETAIL,104.0,False
30 VESEY STREET,40.7121525,-74.0098222,RETAIL,101.0,True
225 Broadway,40.7119906,-74.0086534,RETAIL,101.0,True
99 NASSAU STREET,40.710514,-74.0077226,RETAIL,101.0,False
99 NASSAU STREET,40.710514,-74.0077226,RETAIL,101.0,False
99 NASSAU STREET,40.710514,-74.0077226,RETAIL,101.0,False
99 NASSAU STREET,40.710514,-74.0077226,RETAIL,101.0,False
99 NASSAU STREET,40.710514,-74.0077226,RETAIL,101.0,False
99 NASSAU STREET,40.710514,-74.0077226,RETAIL,101.0,False
222 BROADWAY,40.7108708,-74.00839,RETAIL,101.0,False
113 Nassau Street,40.7108763,-74.0073692,RETAIL,101.0,True
15 ANN STREET,40.7110053,-74.0078165,RETAIL,101.0,False
105 NASSAU STREET,40.710745,-74.007441,RETAIL,101.0,True
105 NASSAU STREET,40.710745,-74.007441,RETAIL,101.0,True
111 FULTON STREET,40.70993,-74.006601,RETAIL,101.0,True
111 FULTON STREET,40.70993,-74.006601,RETAIL,101.0,True
111 FULTON STREET,40.70993,-74.006601,RETAIL,101.0,True
111 FULTON STREET,40.70993,-74.006601,RETAIL,101.0,True
111 FULTON STREET,40.70993,-74.006601,RETAIL,101.0,True
111 FULTON STREET,40.70993,-74.006601,RETAIL,101.0,True
167 WILLIAM STREET,40.7102835,-74.0059696,RETAIL,101.0,False
120 NASSAU STREET,40.7107858,-74.0068101,RETAIL,101.0,True
95 Fulton Street,40.7095205,-74.0057964,RETAIL,101.0,False
150 William Street,40.7095205,-74.0057964,RETAIL,101.0,False
150 BEEKMAN STREET,40.7069845,-74.0023949,RETAIL,101.0,False
230 Front street,40.7077283,-74.0021172,RETAIL,101.0,False
251 Water Street,40.7080412,-74.0020776,RETAIL,101.0,False
140 Nassau Street,40.7112469,-74.0061825,RETAIL,101.0,True
140 Nassau Street,40.7112469,-74.0061825,RETAIL,101.0,True
140 Nassau Street,40.7112469,-74.0061825,RETAIL,101.0,True
140 Nassau Street,40.7112469,-74.0061825,RETAIL,101.0,True
145 NASSAU ST,40.7115379,-74.0064783,RETAIL,101.0,True
264 WATER STREET,40.70869,-74.0016,RETAIL,101.0,True
250 Front street,40.70839,-74.00106,RETAIL,101.0,False
25 MADISON STREET,40.7119553,-73.9993183,RETAIL,103.0,True
37 MADISON ST,40.7120156,-73.9988349,RETAIL,103.0,True
7 Madison Street,40.7125262,-73.9998521,RETAIL,103.0,False
30 PARK PLACE,40.712776,-74.009036,RETAIL,101.0,False
250 BROADWAY,40.712976,-74.007813,RETAIL,101.0,False
120 CHURCH STREET,40.7137911,-74.0095086,RETAIL,101.0,True
120 CHURCH STREET,40.7137911,-74.0095086,RETAIL,101.0,True
120 CHURCH STREET,40.7137911,-74.0095086,RETAIL,101.0,True
120 CHURCH STREET,40.7137911,-74.0095086,RETAIL,101.0,True
120 CHURCH STREET,40.7137911,-74.0095086,RETAIL,101.0,True
255 GREENWICH STREET,40.7143701,-74.0108722,RETAIL,101.0,False
255 GREENWICH STREET,40.7143701,-74.0108722,RETAIL,101.0,False
255 GREENWICH STREET,40.7143701,-74.0108722,RETAIL,101.0,False
69 MURRAY STREET,40.7147215,-74.0103059,RETAIL,101.0,True
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
275 GREENWICH STREET,40.715172,-74.010923,RETAIL,101.0,False
37 MURRAY STREET,40.714052,-74.008928,RETAIL,101.0,False
37 MURRAY STREET,40.714052,-74.008928,RETAIL,101.0,False
37 MURRAY STREET,40.714052,-74.008928,RETAIL,101.0,False
37 MURRAY STREET,40.714052,-74.008928,RETAIL,101.0,False
136 Church Street,40.714269,-74.008755,RETAIL,101.0,True
28 Warren street,40.7144006,-74.0079107,RETAIL,101.0,False
100 CHAMBERS STREET,40.7146476,-74.0078169,RETAIL,101.0,False
90 CHAMBERS STREET,40.714472,-74.0074309,RETAIL,101.0,False
261 BROADWAY,40.71394,-74.006973,RETAIL,101.0,True
86 CHAMBERS STREET,40.714266,-74.006955,RETAIL,101.0,False
52 Warren Street,40.7149687,-74.0088883,RETAIL,101.0,False
56 Warren Street,40.7149522,-74.0091552,RETAIL,101.0,False
58 Warren Street,40.7149522,-74.0091552,RETAIL,101.0,False
118 CHAMBERS STREET,40.7150208,-74.0086358,RETAIL,101.0,False
38 Warren Street,40.714684,-74.008531,RETAIL,101.0,True
86-90 Warren Street,40.7155696,-74.0104756,RETAIL,101.0,False
295 GREENWICH STREET,40.715864,-74.01075,RETAIL,101.0,False
295 GREENWICH STREET,40.715864,-74.01075,RETAIL,101.0,False
295 GREENWICH STREET,40.715864,-74.01075,RETAIL,101.0,False
295 GREENWICH STREET,40.715864,-74.01075,RETAIL,101.0,False
148 CHAMBERS STREET,40.715608,-74.00992,RETAIL,101.0,False
311 greenwich street,40.716572,-74.010523,RETAIL,101.0,False
157 CHAMBERS STREET,40.71616,-74.0101,RETAIL,101.0,False
126 READE STREET,40.7164645,-74.0093899,RETAIL,101.0,True
182 Duane St.,40.7170793,-74.0101187,RETAIL,101.0,False
180 DUANE STREET,40.7170464,-74.0100429,RETAIL,101.0,False
174 DUANE STREET,40.716956,-74.009801,RETAIL,101.0,True
270 Greenwich Street,40.715627,-74.012117,RETAIL,101.0,False
200 CHAMBERS STREET,40.716577,-74.012395,RETAIL,101.0,False
200 CHAMBERS STREET,40.716577,-74.012395,RETAIL,101.0,False
270 GREENWICH STREET,40.715627,-74.012117,RETAIL,101.0,False
270 GREENWICH STREET,40.715627,-74.012117,RETAIL,101.0,False
270 GREENWICH STREET,40.715627,-74.012117,RETAIL,101.0,False
1325 Avenue of the Americas,40.715627,-74.012117,RETAIL,101.0,False
165 Duane Street,40.7174911,-74.0093576,RETAIL,101.0,False
183 DUANE STREET,40.7175624,-74.0102017,RETAIL,101.0,False
325 Greenwich Street,40.717587,-74.0103965,RETAIL,101.0,False
335 Greenwich Street,40.7179247,-74.0102054,RETAIL,101.0,True
140 WEST BROADWAY,40.7171124,-74.008315,RETAIL,101.0,False
42 HUDSON STREET,40.717192,-74.00878,RETAIL,101.0,True
95 READE STREET,40.71537,-74.008156,RETAIL,101.0,True
113 CHAMBERS STREET,40.71537,-74.008156,RETAIL,101.0,True
93 READE STREET,40.715427,-74.008001,RETAIL,101.0,False
142 DUANE STREET,40.7160584,-74.0078531,RETAIL,101.0,True
104 READE STREET,40.71596,-74.0083,RETAIL,101.0,False
104 READE STREET,40.71596,-74.0083,RETAIL,101.0,False
149 DUANE STREET,40.7166348,-74.0081057,RETAIL,101.0,False
139 Duane STreet,40.716608,-74.007593,RETAIL,101.0,False
40 WORTH ST,40.71707,-74.0069,RETAIL,101.0,True
40 WORTH ST,40.71707,-74.0069,RETAIL,101.0,True
299 BROADWAY,40.7151775,-74.0059087,RETAIL,101.0,True
311 BROADWAY,40.7156468,-74.0054615,RETAIL,101.0,False
311 BROADWAY,40.7156468,-74.0054615,RETAIL,101.0,False
305 BROADWAY,40.7155316,-74.0056021,RETAIL,101.0,False
325 BROADWAY,40.7162287,-74.0049709,RETAIL,101.0,False
325 BROADWAY,40.7162287,-74.0049709,RETAIL,101.0,False
18 MOTT STREET,40.714313,-73.998503,RETAIL,103.0,False
26 MOTT ST,40.714571,-73.9985535,RETAIL,103.0,False
30 MOTT STREET,40.7147028,-73.9985751,RETAIL,103.0,False
34 MOTT STREET,40.7148537,-73.9986761,RETAIL,103.0,False
34 MOTT STREET,40.7148537,-73.9986761,RETAIL,103.0,False
34 MOTT STREET,40.7148537,-73.9986761,RETAIL,103.0,False
34 MOTT STREET,40.7148537,-73.9986761,RETAIL,103.0,False
34 MOTT STREET,40.7148537,-73.9986761,RETAIL,103.0,False
13 CHATHAM SQUARE,40.7141044,-73.9977996,RETAIL,103.0,True
16 BOWERY,40.7145737,-73.9975471,RETAIL,103.0,False
14 BOWERY,40.7145161,-73.9975904,RETAIL,103.0,True
6 Bowery,40.7143569,-73.9976589,RETAIL,105.0,False
6 Bowery,40.7143569,-73.9976589,RETAIL,105.0,False
4 BOWERY,40.7142965,-73.9977022,RETAIL,105.0,False
7 CHATHAM SQUARE,40.714047,-73.998218,RETAIL,103.0,False
36 PELL STREET,40.715076,-73.9986978,RETAIL,103.0,False
63 BAYARD STREET,40.7152792,-73.9981134,RETAIL,103.0,False
61 Bayard Street,40.7152572,-73.9980268,RETAIL,103.0,False
61 Bayard Street,40.7152572,-73.9980268,RETAIL,103.0,False
59 Bayard Street,40.7152133,-73.9979547,RETAIL,103.0,False
57 Bayard Street,40.7151886,-73.9978753,RETAIL,103.0,False
49 BAYARD STREET,40.715098,-73.9975398,RETAIL,103.0,False
49 BAYARD STREET,40.715098,-73.9975398,RETAIL,103.0,False
22A BOWERY,40.7147933,-73.9973847,RETAIL,103.0,False
42 MULBERRY STREET,40.7149278,-73.9994192,RETAIL,103.0,False
42 MULBERRY STREET,40.7149278,-73.9994192,RETAIL,103.0,False
50A MULBERRY STREET,40.7151255,-73.9994156,RETAIL,103.0,False
87A Bayard Street,40.7157128,-73.9991415,RETAIL,103.0,False
87B Bayard Street,40.7157128,-73.9991415,RETAIL,103.0,False
81 BAYARD STREET,40.7155783,-73.9988745,RETAIL,103.0,False
81 BAYARD STREET,40.7155783,-73.9988745,RETAIL,103.0,False
53 MOTT,40.7155646,-73.9987266,RETAIL,103.0,True
53 1 2 MOTT,40.7155646,-73.9987266,RETAIL,103.0,True
79 BAYARD,40.7155646,-73.9987266,RETAIL,103.0,True
79 BAYARD,40.7155646,-73.9987266,RETAIL,103.0,True
47 MOTT STREET,40.7153972,-73.9989106,RETAIL,103.0,False
47 MOTT STREET,40.7153972,-73.9989106,RETAIL,103.0,False
41 MOTT STREET,40.7151721,-73.9990333,RETAIL,103.0,False
39 MOTT STREET,40.7151145,-73.9990729,RETAIL,103.0,False
103 Mosco Street,40.7143569,-73.9992822,RETAIL,103.0,False
