job__,Age,lat,long,c_b_no,Height,Color,Around_Store,Store_Num
X00898188-I1,210.0,40.882046,-73.915083,212.0,34.3328335832084,"[210, 196, 174, 255]",False,0
X00898265-I1,210.0,40.750422,-73.996328,209.0,34.3328335832084,"[210, 196, 174, 255]",False,0
X00898948-I1,211.0,40.860271,-73.905204,207.0,34.48275862068965,"[210, 196, 174, 255]",False,0
X00898980-I1,176.0,40.823045,-73.953937,201.0,29.23538230884558,"[210, 196, 174, 255]",False,0
X00898981-I1,176.0,40.808585,-73.913892,201.0,29.23538230884558,"[210, 196, 174, 255]",False,0
X00899820-I1,209.0,40.750422,-73.996328,212.0,34.18290854572714,"[210, 196, 174, 255]",False,0
X00899950-I1,199.0,40.750422,-73.996328,210.0,32.68365817091454,"[210, 196, 174, 255]",False,0
X00900173-I1,203.0,40.8111,-73.905492,201.0,33.28335832083958,"[210, 196, 174, 255]",False,0
X00900289-I1,204.0,40.856577,-73.888921,206.0,33.43328335832084,"[210, 196, 174, 255]",False,0
X00900389-I1,184.0,40.818551,-73.850583,209.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00900396-I1,185.0,40.750422,-73.996328,209.0,30.584707646176913,"[210, 196, 174, 255]",False,0
X00900407-I1,184.0,40.819183,-73.84623,209.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00900415-I1,185.0,40.750422,-73.996328,209.0,30.584707646176913,"[210, 196, 174, 255]",False,0
X00900822-I1,204.0,40.750422,-73.996328,209.0,33.43328335832084,"[210, 196, 174, 255]",False,0
X00900827-I1,199.0,40.750422,-73.996328,202.0,32.68365817091454,"[210, 196, 174, 255]",False,0
X00900830-I1,202.0,40.750422,-73.996328,201.0,33.13343328335832,"[210, 196, 174, 255]",False,0
X00900983-I1,181.0,40.750422,-73.996328,209.0,29.985007496251875,"[210, 196, 174, 255]",False,0
X00900993-I1,187.0,40.750422,-73.996328,209.0,30.88455772113943,"[210, 196, 174, 255]",False,0
X00901003-I1,187.0,40.819204,-73.846111,209.0,30.88455772113943,"[210, 196, 174, 255]",False,0
X00901011-I1,187.0,40.750422,-73.996328,209.0,30.88455772113943,"[210, 196, 174, 255]",False,0
X00901248-I1,189.0,40.673528,-73.94956,206.0,31.18440779610195,"[210, 196, 174, 255]",False,0
X00901656-I1,202.0,40.750422,-73.996328,201.0,33.13343328335832,"[210, 196, 174, 255]",False,0
X00901662-I1,206.0,40.750422,-73.996328,201.0,33.733133433283356,"[210, 196, 174, 255]",False,0
X00901993-I1,204.0,40.750422,-73.996328,209.0,33.43328335832084,"[210, 196, 174, 255]",False,0
X00902131-I1,204.0,40.837437,-73.939088,203.0,33.43328335832084,"[210, 196, 174, 255]",False,0
X00902261-I1,204.0,40.878275,-73.864271,212.0,33.43328335832084,"[210, 196, 174, 255]",False,0
X00902417-I1,192.0,40.750422,-73.996328,205.0,31.63418290854573,"[210, 196, 174, 255]",False,0
X00902471-I1,125.0,40.87586,-73.862129,212.0,21.58920539730135,"[210, 196, 174, 255]",False,0
X00903039-I1,120.0,40.750422,-73.996328,203.0,20.839580209895054,"[210, 196, 174, 255]",False,0
X00903699-I1,198.0,40.841515,-73.938387,204.0,32.53373313343328,"[210, 196, 174, 255]",False,0
X00903709-I1,202.0,40.862344,-73.917401,207.0,33.13343328335832,"[210, 196, 174, 255]",False,0
X00904756-I1,184.0,40.750422,-73.996328,202.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00905351-I1,198.0,40.859157,-73.901101,205.0,32.53373313343328,"[210, 196, 174, 255]",False,0
X00905485-I1,191.0,40.852096,-73.889243,206.0,31.484257871064464,"[242, 131, 55, 255]",True,2
X00905597-I1,197.0,40.750422,-73.996328,207.0,32.38380809595203,"[210, 196, 174, 255]",False,0
X00905937-I1,143.0,40.83886,-73.938405,203.0,24.28785607196402,"[210, 196, 174, 255]",False,0
X00905992-I1,190.0,40.814917,-73.909652,201.0,31.334332833583208,"[210, 196, 174, 255]",False,0
X00906055-I1,197.0,40.750422,-73.996328,212.0,32.38380809595203,"[210, 196, 174, 255]",False,0
X00906095-I1,190.0,40.847579,-73.857086,211.0,31.334332833583208,"[210, 196, 174, 255]",False,0
X00906651-I1,1.0,40.672214,-73.925985,203.0,2.998500749625187,"[210, 196, 174, 255]",False,0
X00906879-I1,196.0,40.855754,-73.908778,205.0,32.23388305847077,"[210, 196, 174, 255]",False,0
X00906913-I1,195.0,40.838885,-73.937024,204.0,32.083958020989506,"[210, 196, 174, 255]",False,0
X00907652-I1,195.0,40.775889,-73.982008,208.0,32.083958020989506,"[210, 196, 174, 255]",False,0
X00907667-I1,194.0,40.867927,-73.917408,207.0,31.93403298350825,"[210, 196, 174, 255]",False,0
X00907771-I1,184.0,40.844912,-73.937576,204.0,30.434782608695652,"[210, 196, 174, 255]",False,0
X00907812-I1,192.0,40.878459,-73.869422,212.0,31.63418290854573,"[210, 196, 174, 255]",False,0
X00907940-I1,192.0,40.706073,-74.009327,201.0,31.63418290854573,"[210, 196, 174, 255]",False,0
X00908187-I1,192.0,40.836498,-73.941025,204.0,31.63418290854573,"[210, 196, 174, 255]",False,0
X00908199-I1,185.0,40.750422,-73.996328,204.0,30.584707646176913,"[210, 196, 174, 255]",False,0
X00909001-I1,141.0,40.750422,-73.996328,210.0,23.988005997001498,"[210, 196, 174, 255]",False,0
X00909155-I1,175.0,40.888583,-73.912858,208.0,29.08545727136432,"[210, 196, 174, 255]",False,0
X00909219-I1,191.0,40.858811,-73.896068,205.0,31.484257871064464,"[242, 131, 55, 255]",True,1
X00909250-I1,143.0,40.706073,-74.009327,201.0,24.28785607196402,"[210, 196, 174, 255]",False,0
X00909399-I1,190.0,40.750422,-73.996328,209.0,31.334332833583208,"[210, 196, 174, 255]",False,0
X00909415-I1,160.0,40.880517,-73.907289,208.0,26.836581709145428,"[242, 131, 55, 255]",True,1
X00909654-I1,189.0,40.750422,-73.996328,204.0,31.18440779610195,"[210, 196, 174, 255]",False,0
X00909725-I1,169.0,40.750422,-73.996328,204.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00909726-I1,169.0,40.750422,-73.996328,204.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00909729-I1,169.0,40.833597,-73.91378,204.0,28.185907046476764,"[210, 196, 174, 255]",False,0
X00909784-I1,34.0,40.815169,-73.9352,201.0,7.946026986506746,"[210, 196, 174, 255]",False,0
